"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",6,"AFG","Afghanistan","0.04",2017,"","Afghanistan Telecom Regulatory Authority","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",6,"AFG","Afghanistan","0.061459059",2018,"","Afghanistan Telecommunication Regulatory Authority.","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",6,"AFG","Afghanistan","0.1215871",2019,"","Afghanistan Telecommunication Regulatory Authority.","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",6,"AFG","Afghanistan","0.185043937",2020,"","Afghanistan Telecommunication Regulatory Authority.","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",6,"AFG","Afghanistan","0.224055",2022,"","Afghanistan Telecommunication Regulatory Authority.","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",6,"AFG","Afghanistan","0.2241",2023,"","Afghanistan Telecommunication Regulatory Authority.","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","0.038977411188",2014,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","0.1",2015,"##We have a significance increaser because all major operators have reported on this indicator.","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","0.179458017",2016,"in Megabytes","Independent Communication Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","0.371057795",2017,"in Megabytes","Independent Communication Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","0.857343398",2018,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","0.934601968",2019,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","1.60441",2020,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","1.933132",2021,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","2.604441",2022,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","3.48030559",2023,"Data under verification","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",7,"ZAF","South Africa","4.04317875569541",2024,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.002025",2011,"","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.003683",2012,"","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.007217",2013,"","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.001580597",2014,"","Angolan Institute of Communications
Angolan Institute of Communications","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.008820278",2016,"","Angolan Institute of Communications","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.02",2017,"","Angolan Institute of Communications","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.030476884",2018,"","INACOM","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.034",2019,"","Angolan Institute of Communications","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.060678",2020,"0,060678000000","Angolan Institute of Communications","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.089409",2021,"this data need review with operators","Angolan Institute of Communications","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.173527",2022,"","Angolan Institute of Communications","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.27984",2023,"growth is based on the new operator's entry into the AFRICELL market, which has offered very attractive mobile data products.","Angolan Institute of Communications","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",8,"AGO","Angola","0.43248837",2024,"","Angolan Institute of Communications","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",10,"ALB","Albania","0.006006567",2014,"","Minister of State for the Innovation and Public Administration","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",10,"ALB","Albania","0.011775435",2015,"","Ministry of Infrastructure and Energy","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",10,"ALB","Albania","0.026753639",2016,"","AKEP","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",10,"ALB","Albania","0.045901117",2017,"","Ministry of Infrastructure and Energy","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",10,"ALB","Albania","0.060051808",2018,"","Ministry of Infrastructure and Energy","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",10,"ALB","Albania","0.06913549",2019,"","Ministry of Infrastructure and Energy","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",10,"ALB","Albania","0.08895",2020,"","Ministry of Infrastructure and Energy","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",10,"ALB","Albania","0.155586",2021,"","Ministry of Infrastructure and Energy","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",10,"ALB","Albania","0.18448",2022,"","Ministry of Infrastructure and Energy","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",10,"ALB","Albania","0.19362",2023,"","Ministry of Infrastructure and Energy","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
