iso,country,region,year,traffic_eb,broadband_subs,mobile_broadband_penetration,cellular_subs,cov_5g,cov_4g,cov_3g,cov_2g,region_adoption_factor,5g_penetration_rate,5g_penetration_pct,estimated_5g_subscriptions,synthetic_5g_subscription_flag,gdp_per_capita,urbanization_rate,log_gdp_per_capita,mobile_traffic_per_sub,traffic_growth_rate
AFG,Afghanistan,South & Southeast Asia,2019,0.1215871,7309797.0,19.3094189444291,22580071.0,0.0,22.0,57.0,90.0,0.0092,0.0,0.0,0.0,True,496.6025042585,25.1437258839803,6.207789915869446,1.386120344153652,
AFG,Afghanistan,South & Southeast Asia,2020,0.185043937,7422550.0,18.998576850447,22678024.0,0.0,26.0,57.0,90.0,0.046,0.0,0.0,0.0,True,510.787063366811,25.2622103446137,6.235952797617645,2.077497367256985,49.878571223588764
AFG,Afghanistan,South & Southeast Asia,2022,0.224055,22831896.0,56.2655188632539,22831896.0,0.0,33.03,65.18,92.0,0.253,0.0,0.0,0.0,True,357.261152798144,25.3939250580909,5.878467034791953,0.8177704558570169,
AFG,Afghanistan,South & Southeast Asia,2023,0.2241,23027082.0,55.5474967036959,23027082.0,0.0,34.0,67.0,92.3,0.3496,0.0,0.0,0.0,True,413.757894705303,25.4730529631167,6.0252810073679735,0.8110015850032584,-0.8277225968826185
AGO,Angola,Sub-Saharan Africa,2019,0.034,6740418.0,20.8194175174712,14830154.0,0.0,18.0,85.0,90.0,0.0052,0.0,0.0,0.0,True,2493.67884440177,66.6637823180533,7.8215143466578585,0.4203497963083793,
AGO,Angola,Sub-Saharan Africa,2020,0.060678,6637340.0,19.8418995207696,14645050.0,0.0,72.74,77.5,85.0,0.026,0.0,0.0,0.0,True,1759.35619918264,67.4568270208187,7.472703225193596,0.7618262737783509,81.23626571700673
AGO,Angola,Sub-Saharan Africa,2021,0.089409,7325997.0,21.2148325853359,15327864.0,0.0,73.87,79.85,86.0,0.0832,0.0,0.0,0.0,True,2303.90812662776,68.2524163556969,7.742362145425139,1.0170288085021055,33.498783581990836
AGO,Angola,Sub-Saharan Africa,2022,0.173527,9349591.0,26.2370798126753,23733217.0,0.0,75.15,80.9,87.0,0.143,0.0,0.0,0.0,True,3682.1131513698,69.0506188977513,8.21124209227407,1.546654108541575,52.0757421630474
AGO,Angola,Sub-Saharan Africa,2023,0.27984,11139237.0,30.3109265095807,25744029.0,15.4,76.78,83.9,88.0,0.1976,0.0304304,3.04304,783401.1000816,True,2916.13663284275,69.8515032220457,7.978014948286916,2.093500658976912,35.35674508057838
AGO,Angola,Sub-Saharan Africa,2024,0.43248837,12648006.0,33.3845125128382,26407932.0,16.05,77.4,85.66,89.6,0.2392,0.0383916,3.8391599999999997,1013842.7621711999,True,2665.87444776753,70.6551379036435,7.888287405769062,2.8495161608873367,36.11250365117571
ALB,Albania,Europe,2019,0.06913549,1789158.0,62.0156602576767,2630076.0,0.0,95.0,99.2,99.86,0.01,0.0,0.0,0.0,True,6069.43903131027,56.7639071287255,8.711021463194774,3.2201129432578526,
ALB,Albania,Europe,2020,0.08895,1998579.0,69.5895198878534,2618880.0,0.0,98.38,99.2,99.86,0.05,0.0,0.0,0.0,True,6027.91350716348,57.1408592155544,8.70415621113042,3.708885162908246,15.17872907761717
ALB,Albania,Europe,2021,0.155586,2056444.0,72.1651720308039,2635466.0,0.0,98.9,99.2,99.86,0.16,0.0,0.0,0.0,True,7242.45513146613,57.5077187031778,8.887715534452225,6.304815497042468,69.99220035431554
ALB,Albania,Europe,2022,0.18448,2140180.0,75.6887093260452,2782226.0,0.0,99.0,99.0,100.0,0.275,0.0,0.0,0.0,True,7756.96188744253,57.8643477747383,8.95634602716728,7.183196428960804,13.931905419442913
ALB,Albania,Europe,2023,0.19362,2082525.0,74.0675865282191,2614764.0,0.0,99.6,99.6,99.87,0.38,0.0,0.0,0.0,True,9730.86921906893,58.2106086137857,9.183058505112822,7.747806148785728,7.860145903132509
ALB,Albania,Europe,2024,0.223432,2091266.0,74.9083823316074,2488380.0,24.0,99.6,99.6,100.0,0.46,0.1104,11.04,274717.152,True,11377.7757431099,58.5463634043555,9.339417235423078,8.903378782676777,14.914836686668465
AND,Andorra,Europe,2019,0.00073222,61000.0,79.7656719930957,87909.0,0.0,85.0,98.0,99.5,0.01,0.0,0.0,0.0,True,41257.816459345,88.5391793666245,10.627595863735394,1.0003005464480874,
AND,Andorra,Europe,2021,0.001585,68500.0,87.4125874125874,93792.0,85.0,93.0,99.5,99.5,0.16,0.136,13.600000000000001,12755.712000000001,True,42425.7066454357,88.6627318165299,10.65550974630869,1.9282238442822386,
AND,Andorra,Europe,2022,0.002138,76000.0,95.3516090584029,113521.0,92.0,97.0,99.5,99.5,0.275,0.25300000000000006,25.300000000000004,28720.813000000006,True,42414.0479861228,88.7548766267286,10.65523490677298,2.344298245614035,21.578117217333535
AND,Andorra,Europe,2023,0.00376956,86622.0,107.131196200653,126214.0,92.0,97.0,99.5,99.5,0.38,0.3496,34.96,44124.4144,True,46812.4261013102,88.8201609217082,10.753903961648133,3.626445937521646,54.692174696900885
AND,Andorra,Europe,2024,0.00474368,88818.0,108.396592545583,127571.0,94.0,98.5,99.5,99.5,0.46,0.4324,43.24,55161.7004,True,49303.6491674336,88.8850044816278,10.805753376914863,4.450749472704482,22.73034120415356
ARE,United Arab Emirates,Middle East & North Africa,2019,0.663,23438582.0,249.935640877912,19602815.0,0.0,99.82,100.0,100.0,0.0108,0.0,0.0,0.0,True,45938.6073581994,85.0298263388195,10.735061161421376,2.357224511278029,
ARE,United Arab Emirates,Middle East & North Africa,2020,0.795,22178585.0,234.73068386131,18374332.0,80.0,99.82,100.0,100.0,0.054,0.0432,4.32,793771.1424,True,37991.7492971665,85.1955255681984,10.54512429137497,2.987115724470249,26.721731857891996
ARE,United Arab Emirates,Middle East & North Africa,2021,1.19,22586425.0,230.731578801125,18237084.0,90.74,99.83,100.0,100.0,0.1728,0.15679872,15.679872,2859551.42773248,True,44118.5047192771,85.3571908511355,10.69463458157093,4.3905428445035755,46.98268327994617
ARE,United Arab Emirates,Middle East & North Africa,2022,2.22,22178236.0,216.540224325396,20036039.0,97.03,99.84,100.0,100.0,0.297,0.2881791,28.81791,5773967.6865849,True,50759.7589231191,85.5147347682487,10.83485917246951,8.341511020082931,89.9881476051529
ARE,United Arab Emirates,Middle East & North Africa,2023,3.95,22529176.0,211.698971282027,21222847.0,98.92,100.0,100.0,100.0,0.4104,0.40596768,40.596768,8615789.95958496,True,49850.6872175164,85.6680699002526,10.816787561002412,14.61068379361352,75.15632070061402
ARE,United Arab Emirates,Middle East & North Africa,2024,5.36346678,22623250.0,205.159928753894,22407833.0,99.46,100.0,100.0,100.0,0.4968,0.49411728,49.411728,11072097.49265424,True,50273.5060469837,85.8171088279791,10.825233498574942,19.756470224216237,35.219340198519625
ARG,Argentina,Latin America,2019,1.052431078,32262000.0,71.7356334451882,56352947.0,0.0,91.18,95.0,98.0,0.0076,0.0,0.0,0.0,True,9955.97478680428,91.8567844513802,9.205928131021869,2.718448634099973,
ARG,Argentina,Latin America,2020,1.061312,31026000.0,68.6537971960281,54763900.0,0.0,97.68,98.5,98.87,0.038,0.0,0.0,0.0,True,8535.59938004389,91.9439026594897,9.052000858895653,2.8505984228281656,4.861220737096805
ARG,Argentina,Latin America,2021,1.260903,33000000.0,72.8279381918558,59065827.0,0.0,97.68,98.5,98.87,0.1216,0.0,0.0,0.0,True,10738.0179223384,92.0292776175651,9.281545800038526,3.184098484848485,11.699300025902758
ARG,Argentina,Latin America,2022,1.73506421,34587842.0,76.1714128007318,59703927.0,0.0,97.68,98.5,98.87,0.209,0.0,0.0,0.0,True,13962.1894087223,92.112838186126,9.544108198454824,4.180332619961276,31.287792756831045
ARG,Argentina,Latin America,2024,2.31174176,37996400.0,83.15,64081999.0,0.0,97.68,98.5,98.89,0.3496,0.0,0.0,0.0,True,13969.7836603737,92.2742315972952,9.54465196611633,5.070089447070424,
AUS,Australia,East Asia & Pacific,2019,2.77,32744000.0,128.494947594671,27968000.0,0.0,99.4,99.5,99.5,0.0124,0.0,0.0,0.0,True,55194.7585097428,87.3019647888406,10.918623273223075,7.049637592637837,
AUS,Australia,East Asia & Pacific,2020,3.4,31671000.0,123.023839029768,27013000.0,50.0,99.5,99.5,99.5,0.062,0.031,3.1,837403.0,True,51983.4523666382,87.2713470458985,10.858680723201157,8.946144211844695,26.90218602424954
AUS,Australia,East Asia & Pacific,2021,4.23,31626000.0,121.842702712011,27285000.0,77.5,99.5,99.5,99.5,0.1984,0.15376,15.376000000000001,4195341.600000001,True,60758.9044397144,87.2353407632761,11.01466892560104,11.145892619996205,24.588787706317582
AUS,Australia,East Asia & Pacific,2022,5.38,33088000.0,126.285333405799,28682000.0,80.0,99.5,99.5,99.5,0.341,0.27280000000000004,27.280000000000005,7824449.6000000015,True,65169.5191118657,87.3343268253813,11.084747140319083,13.549725983236621,21.566988353430183
AUS,Australia,East Asia & Pacific,2023,4.78,33990000.0,128.501155565261,29761000.0,85.0,85.0,99.6,99.6,0.4712,0.40052,40.052,11919875.719999999,True,65058.3773146674,87.4866955653765,11.083040258349369,11.719133078356379,-13.510183948701293
AUS,Australia,East Asia & Pacific,2024,5.54,34253000.0,128.224973379271,30074000.0,89.0,89.0,99.7,99.7,0.5704,0.507656,50.7656,15267246.544,True,64603.9856308464,87.6021469990446,11.076031384939434,13.47813816794636,15.009686107572428
AUT,Austria,Europe,2019,1.998939547,9616309.0,108.281086235187,10726000.0,0.0,98.0,98.0,99.0,0.01,0.0,0.0,0.0,True,49885.9947355204,68.3176044750522,10.817495575722525,17.322477426976747,
AUT,Austria,Europe,2020,2.739192,9638630.0,108.039372722122,10717445.0,55.0,98.0,98.0,99.0,0.05,0.027500000000000004,2.7500000000000004,294729.73750000005,True,48716.4098900349,68.5410177924001,10.793771211040454,23.682411297041174,36.71492081242338
AUT,Austria,Europe,2021,3.279685,9396888.0,104.793445608743,10882217.0,82.0,98.0,98.0,99.0,0.16,0.13119999999999998,13.119999999999997,1427746.8704,True,53648.6437976214,68.773601700253,10.890211469037029,29.084850573225236,22.812032138209794
AUT,Austria,Europe,2022,3.8380614,10842580.0,119.613528424675,10983348.0,92.0,98.0,98.0,99.0,0.275,0.25300000000000006,25.300000000000004,2778787.0440000007,True,52336.7725223758,68.998085127906,10.86545451049114,29.498371236366253,1.4217733802686094
AUT,Austria,Europe,2023,4.55187885,11445310.0,125.353474628629,11115951.0,96.0,98.0,98.0,99.0,0.38,0.3648,36.480000000000004,4055098.9248,True,56579.504175468,69.2265358276021,10.943402081569864,33.142242324585354,12.35278740992607
