Year,Region,Technology,Device,Million
2026,World Total,5G,,88.421
2026,World Total,4G/Other technologies,,125.083
2025,World Total,5G,,61.173
2024,World Total,5G,,41.725
2023,World Total,5G,,28.682
2022,World Total,5G,,19.206
2021,World Total,5G,,9.363
2020,World Total,5G,,4.274
2025,World Total,4G/Other technologies,,124.18
2024,World Total,4G/Other technologies,,117.461
2023,World Total,4G/Other technologies,,102.359
2022,World Total,4G/Other technologies,,87.578
2021,World Total,4G/Other technologies,,79.264
2020,World Total,4G/Other technologies,,68.434
