Year,Region,Technology,Device,Million
2026,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",40.197
2026,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",40.1
2026,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",59.168
2026,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",26.705
2026,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",50.434
2026,North America,All technologies,"Mobile PCs/Tablets/
Routers",67.018
2026,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",25.045
2026,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",52.08
2026,"India, Nepal, Bhutan",All technologies,Feature phones,184.257
2026,South East Asia & Oceania,All technologies,Feature phones,102.098
2026,North East Asia,All technologies,Feature phones,42.808
2026,Central & Eastern Europe,All technologies,Feature phones,13.527
2026,Western Europe,All technologies,Feature phones,2.44
2026,North America,All technologies,Feature phones,0
2026,Latin America,All technologies,Feature phones,86.233
2026,Middle East & Africa,All technologies,Feature phones,505.343
2026,"India, Nepal, Bhutan",All technologies,Smartphones,1022.548
2026,South East Asia & Oceania,All technologies,Smartphones,1030.083
2026,North East Asia,All technologies,Smartphones,2226.04
2026,Central & Eastern Europe,All technologies,Smartphones,522.947
2026,Western Europe,All technologies,Smartphones,504.313
2026,North America,All technologies,Smartphones,396.534
2026,Latin America,All technologies,Smartphones,653.173
2026,Middle East & Africa,All technologies,Smartphones,1286.694
2025,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",29.815
2025,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",37.279
2025,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",55.265
2025,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",25.837
2025,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",45.623
2025,North America,All technologies,"Mobile PCs/Tablets/
Routers",61.363
2025,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",23.596
2025,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",46.067
2025,"India, Nepal, Bhutan",All technologies,Feature phones,229.899
2025,South East Asia & Oceania,All technologies,Feature phones,121.648
2025,North East Asia,All technologies,Feature phones,64.177
2025,Central & Eastern Europe,All technologies,Feature phones,23.796
2025,Western Europe,All technologies,Feature phones,4.651
2025,North America,All technologies,Feature phones,0
2025,Latin America,All technologies,Feature phones,91.093
2025,Middle East & Africa,All technologies,Feature phones,552.015
2025,"India, Nepal, Bhutan",All technologies,Smartphones,967.288
2025,South East Asia & Oceania,All technologies,Smartphones,1013.355
2025,North East Asia,All technologies,Smartphones,2193.21
2025,Central & Eastern Europe,All technologies,Smartphones,513.345
2025,Western Europe,All technologies,Smartphones,503.907
2025,North America,All technologies,Smartphones,394.555
2025,Latin America,All technologies,Smartphones,634.762
2025,Middle East & Africa,All technologies,Smartphones,1193.035
2024,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",22.096
2024,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",34.13
2024,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",50.722
2024,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",24.969
2024,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",40.812
2024,North America,All technologies,"Mobile PCs/Tablets/
Routers",53.836
2024,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",22.719
2024,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",40.054
2024,"India, Nepal, Bhutan",All technologies,Feature phones,273.018
2024,South East Asia & Oceania,All technologies,Feature phones,144.779
2024,North East Asia,All technologies,Feature phones,76.215
2024,Central & Eastern Europe,All technologies,Feature phones,51.952
2024,Western Europe,All technologies,Feature phones,8.061
2024,North America,All technologies,Feature phones,0
2024,Latin America,All technologies,Feature phones,95.886
2024,Middle East & Africa,All technologies,Feature phones,600.257
2024,"India, Nepal, Bhutan",All technologies,Smartphones,891.888
2024,South East Asia & Oceania,All technologies,Smartphones,1003.372
2024,North East Asia,All technologies,Smartphones,2137.542
2024,Central & Eastern Europe,All technologies,Smartphones,486.057
2024,Western Europe,All technologies,Smartphones,501.249
2024,North America,All technologies,Smartphones,393.54
2024,Latin America,All technologies,Smartphones,615.846
2024,Middle East & Africa,All technologies,Smartphones,1095.805
2023,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",15.788
2023,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",30.462
2023,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",45.491
2023,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",23.141
2023,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",37.306
2023,North America,All technologies,"Mobile PCs/Tablets/
Routers",48.263
2023,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",21.128
2023,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",33.537
2023,"India, Nepal, Bhutan",All technologies,Feature phones,320.601
2023,South East Asia & Oceania,All technologies,Feature phones,167.527
2023,North East Asia,All technologies,Feature phones,89.397
2023,Central & Eastern Europe,All technologies,Feature phones,86.15
2023,Western Europe,All technologies,Feature phones,17.113
2023,North America,All technologies,Feature phones,8.862
2023,Latin America,All technologies,Feature phones,101.293
2023,Middle East & Africa,All technologies,Feature phones,620.213
2023,"India, Nepal, Bhutan",All technologies,Smartphones,846.613
2023,South East Asia & Oceania,All technologies,Smartphones,966.292
2023,North East Asia,All technologies,Smartphones,2077.342
2023,Central & Eastern Europe,All technologies,Smartphones,453.687
2023,Western Europe,All technologies,Smartphones,492.241
2023,North America,All technologies,Smartphones,380.57
2023,Latin America,All technologies,Smartphones,595.03
2023,Middle East & Africa,All technologies,Smartphones,1028.367
2022,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",12.11
2022,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",23.658
2022,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",42.824
2022,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",21.674
2022,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",34.457
2022,North America,All technologies,"Mobile PCs/Tablets/
Routers",43.412
2022,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",20.599
2022,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",29.362
2022,"India, Nepal, Bhutan",All technologies,Feature phones,361.313
2022,South East Asia & Oceania,All technologies,Feature phones,169.869
2022,North East Asia,All technologies,Feature phones,102.086
2022,Central & Eastern Europe,All technologies,Feature phones,136.382
2022,Western Europe,All technologies,Feature phones,36.971
2022,North America,All technologies,Feature phones,17.127
2022,Latin America,All technologies,Feature phones,110.286
2022,Middle East & Africa,All technologies,Feature phones,612.249
2022,"India, Nepal, Bhutan",All technologies,Smartphones,773.579
2022,South East Asia & Oceania,All technologies,Smartphones,949.754
2022,North East Asia,All technologies,Smartphones,2017.832
2022,Central & Eastern Europe,All technologies,Smartphones,406.722
2022,Western Europe,All technologies,Smartphones,473.17
2022,North America,All technologies,Smartphones,365.012
2022,Latin America,All technologies,Smartphones,574.566
2022,Middle East & Africa,All technologies,Smartphones,984.506
2021,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",9.19
