Year,Region,Technology,Device,EB/month
2025,World Total,Other,All devices,14.98
2025,World Total,File Sharing,All devices,0.671
2025,World Total,Software Update,All devices,3.898
2025,World Total,Web Browsing,All devices,2.038
2025,World Total,Audio,All devices,1.713
2025,World Total,Social Networking,All devices,11.207
2025,World Total,Video,All devices,108.442
2024,World Total,Other,All devices,13.594
2024,World Total,File Sharing,All devices,0.619
2024,World Total,Software Update,All devices,3.575
2024,World Total,Web Browsing,All devices,2.063
2024,World Total,Audio,All devices,1.572
2024,World Total,Social Networking,All devices,10.083
2024,World Total,Video,All devices,91.467
2023,World Total,Other,All devices,12.435
2023,World Total,File Sharing,All devices,0.575
2023,World Total,Software Update,All devices,3.306
2023,World Total,Web Browsing,All devices,2.086
2023,World Total,Audio,All devices,1.454
2023,World Total,Social Networking,All devices,9.142
2023,World Total,Video,All devices,77.362
2022,World Total,Other,All devices,10.962
2022,World Total,File Sharing,All devices,0.515
2022,World Total,Software Update,All devices,2.946
2022,World Total,Web Browsing,All devices,2.019
2022,World Total,Audio,All devices,1.296
2022,World Total,Social Networking,All devices,7.983
2022,World Total,Video,All devices,62.516
2021,World Total,Other,All devices,9.094
2021,World Total,File Sharing,All devices,0.435
2021,World Total,Software Update,All devices,2.47
2021,World Total,Web Browsing,All devices,1.83
2021,World Total,Audio,All devices,1.086
2021,World Total,Social Networking,All devices,6.555
2021,World Total,Video,All devices,47.049
2020,World Total,Other,All devices,6.865
2020,World Total,File Sharing,All devices,0.334
2020,World Total,Software Update,All devices,1.886
2020,World Total,Web Browsing,All devices,1.501
2020,World Total,Audio,All devices,0.828
2020,World Total,Social Networking,All devices,4.894
2020,World Total,Video,All devices,31.808
2019,World Total,Other,All devices,5.112
2019,World Total,File Sharing,All devices,0.253
2019,World Total,Software Update,All devices,1.419
2019,World Total,Web Browsing,All devices,1.21
2019,World Total,Audio,All devices,0.622
2019,World Total,Social Networking,All devices,3.602
2019,World Total,Video,All devices,20.941
2018,World Total,Other,All devices,3.739
2018,World Total,File Sharing,All devices,0.191
2018,World Total,Software Update,All devices,1.049
2018,World Total,Web Browsing,All devices,0.955
2018,World Total,Audio,All devices,0.459
2018,World Total,Social Networking,All devices,2.599
2018,World Total,Video,All devices,13.431
2017,World Total,Other,All devices,1.999
2017,World Total,File Sharing,All devices,0.11
2017,World Total,Software Update,All devices,0.565
2017,World Total,Web Browsing,All devices,0.553
2017,World Total,Audio,All devices,0.244
2017,World Total,Social Networking,All devices,1.36
2017,World Total,Video,All devices,6.184
2016,World Total,Other,All devices,1.41
2016,World Total,File Sharing,All devices,0.082
2016,World Total,Software Update,All devices,0.402
2016,World Total,Web Browsing,All devices,0.419
2016,World Total,Audio,All devices,0.173
2016,World Total,Social Networking,All devices,0.943
2016,World Total,Video,All devices,3.735
2015,World Total,Other,All devices,0.926
2015,World Total,File Sharing,All devices,0.058
2015,World Total,Software Update,All devices,0.267
2015,World Total,Web Browsing,All devices,0.293
2015,World Total,Audio,All devices,0.114
2015,World Total,Social Networking,All devices,0.61
2015,World Total,Video,All devices,2.084
2014,World Total,Other,All devices,0.584
2014,World Total,File Sharing,All devices,0.045
2014,World Total,Software Update,All devices,0.168
2014,World Total,Web Browsing,All devices,0.199
2014,World Total,Audio,All devices,0.071
2014,World Total,Social Networking,All devices,0.375
2014,World Total,Video,All devices,1.082
2013,World Total,Other,All devices,0.338
2013,World Total,File Sharing,All devices,0.028
2013,World Total,Software Update,All devices,0.098
2013,World Total,Web Browsing,All devices,0.128
2013,World Total,Audio,All devices,0.042
2013,World Total,Social Networking,All devices,0.214
2013,World Total,Video,All devices,0.582
2012,World Total,Other,All devices,0.164
2012,World Total,File Sharing,All devices,0.014
2012,World Total,Software Update,All devices,0.057
2012,World Total,Web Browsing,All devices,0.066
2012,World Total,Audio,All devices,0.02
2012,World Total,Social Networking,All devices,0.085
2012,World Total,Video,All devices,0.19
